sample_id,peak_id,r_time,peak_area,injection_volume,volume_adjustment,apparent_conc,sample_dilution,predicted_conc,final_conc,extrapolated
2026.01.19_SMP_EXT1_01,1,2.892,9352884,10,5,0.6546221740214103,714.285714285714,3.2731108701070517,2337.93633579075,FALSE
2026.01.19_SMP_EXT1_02,1,2.902,9345363,10,5,0.6540972383773292,714.285714285714,3.270486191886646,2336.0615656333175,FALSE
2026.01.19_SMP_EXT2_01,1,2.903,9165985,10,5,0.6415773732046173,714.285714285714,3.2078868660230864,2291.3477614450608,FALSE
2026.01.19_SMP_EXT2_02,1,2.899,9161279,10,5,0.641248913273618,714.285714285714,3.20624456636809,2290.1746902629206,FALSE
