[Header]
Application Name	LabSolutions
Version	5.71
Data File Name	C:\LabSolutions\Data\Project1\Analyst1\Compound1_STD3__08.lcd
Output Date	04/01/2013
Output Time	01:40:58

[File Information]
Type	Data File
Generated	03/01/2013 08:37:29
Generated by	System Administrator
Modified	03/01/2013 08:49:58
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	03/01/2013 08:37:55
Sample Type	1:Standard
Level	1
Sample Name	STD3_
Sample ID	STD3_
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	51
Injection Volume	50

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Analyst1\Compound1_STD3__08.lcd
Method File	C:\LabSolutions\Data\Project1\Analyst1\Compound1.lcm
Batch File	C:\LabSolutions\Data\Project1\Analyst1\2026.01.14_Compound1_std_curve.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC-PC-Instrument
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	1
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2,920	2,752	3,541	435730	54367	8,015	0,000	   			0,000	2839	52,831	1,592	0,000	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      1128
Interval(msec)	640
Start Time(min)	0
End Time(min)	12,0213
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	315
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	7
0,11733	6
0,12800	4
0,13867	-2
0,14933	-0
0,16000	4
0,17067	5
0,18133	5
0,19200	1
0,20267	8
0,21333	12
0,22400	9
0,23467	11
0,24533	12
0,25600	6
0,26667	4
0,27733	5
0,28800	1
0,29867	5
0,30933	1
0,32000	4
0,33067	0
0,34133	-3
0,35200	3
0,36267	1
0,37333	4
0,38400	2
0,39467	-1
0,40533	-0
0,41600	-0
0,42667	7
0,43733	3
0,44800	4
0,45867	2
0,46933	-1
0,48000	1
0,49067	6
0,50133	0
0,51200	4
0,52267	-3
0,53333	5
0,54400	5
0,55467	2
0,56533	1
0,57600	6
0,58667	-0
0,59733	-7
0,60800	-5
0,61867	3
0,62933	5
0,64000	-1
0,65067	3
0,66133	-1
0,67200	-1
0,68267	-1
0,69333	-6
0,70400	4
0,71467	2
0,72533	-0
0,73600	-2
0,74667	4
0,75733	-1
0,76800	0
0,77867	2
0,78933	2
0,80000	6
0,81067	7
0,82133	10
0,83200	7
0,84267	4
0,85333	8
0,86400	3
0,87467	11
0,88533	11
0,89600	9
0,90667	6
0,91733	7
0,92800	-1
0,93867	1
0,94933	-3
0,96000	8
0,97067	4
0,98133	1
0,99200	1
1,00267	3
1,01333	3
1,02400	5
1,03467	7
1,04533	13
1,05600	9
1,06667	5
1,07733	8
1,08800	10
1,09867	10
1,10933	7
1,12000	4
1,13067	0
1,14133	-0
1,15200	7
1,16267	6
1,17333	8
1,18400	9
1,19467	2
1,20533	0
1,21600	4
1,22667	7
1,23733	8
1,24800	8
1,25867	11
1,26933	6
1,28000	6
1,29067	8
1,30133	5
1,31200	4
1,32267	4
1,33333	4
1,34400	14
1,35467	13
1,36533	4
1,37600	5
1,38667	4
1,39733	-3
1,40800	5
1,41867	10
1,42933	7
1,44000	4
1,45067	-1
1,46133	-6
1,47200	4
1,48267	7
1,49333	6
1,50400	8
1,51467	0
1,52533	2
1,53600	2
1,54667	1
1,55733	2
1,56800	3
1,57867	1
1,58933	0
1,60000	0
1,61067	3
1,62133	6
1,63200	7
1,64267	-1
1,65333	-3
1,66400	5
1,67467	3
1,68533	6
1,69600	5
1,70667	9
1,71733	7
1,72800	6
1,73867	3
1,74933	10
1,76000	9
1,77067	13
1,78133	13
1,79200	12
1,80267	6
1,81333	13
1,82400	8
1,83467	5
1,84533	7
1,85600	10
1,86667	6
1,87733	1
1,88800	2
1,89867	10
1,90933	5
1,92000	3
1,93067	2
1,94133	2
1,95200	3
1,96267	2
1,97333	1
1,98400	4
1,99467	6
2,00533	10
2,01600	7
2,02667	7
2,03733	7
2,04800	8
2,05867	8
2,06933	7
2,08000	4
2,09067	2
2,10133	5
2,11200	1
2,12267	4
2,13333	5
2,14400	4
2,15467	4
2,16533	11
2,17600	13
2,18667	2
2,19733	6
2,20800	9
2,21867	9
2,22933	18
2,24000	14
2,25067	13
2,26133	10
2,27200	9
2,28267	5
2,29333	12
2,30400	12
2,31467	9
2,32533	11
2,33600	11
2,34667	16
2,35733	15
2,36800	14
2,37867	17
2,38933	14
2,40000	4
2,41067	5
2,42133	4
2,43200	14
2,44267	12
2,45333	13
2,46400	10
2,47467	12
2,48533	10
2,49600	10
2,50667	12
2,51733	10
2,52800	10
2,53867	17
2,54933	10
2,56000	11
2,57067	8
2,58133	11
2,59200	8
2,60267	15
2,61333	16
2,62400	22
2,63467	20
2,64533	17
2,65600	14
2,66667	12
2,67733	17
2,68800	14
2,69867	21
2,70933	20
2,72000	23
2,73067	25
2,74133	24
2,75200	21
2,76267	24
2,77333	28
2,78400	40
2,79467	108
2,80533	330
2,81600	964
2,82667	2443
2,83733	5385
2,84800	10275
2,85867	17224
2,86933	25884
2,88000	35166
2,89067	43676
2,90133	50163
2,91200	53799
2,92267	54398
2,93333	52367
2,94400	48380
2,95467	43281
2,96533	37826
2,97600	32492
2,98667	27532
2,99733	23139
3,00800	19370
3,01867	16145
3,02933	13414
3,04000	11143
3,05067	9250
3,06133	7673
3,07200	6363
3,08267	5281
3,09333	4390
3,10400	3651
3,11467	3042
3,12533	2546
3,13600	2136
3,14667	1806
3,15733	1531
3,16800	1308
3,17867	1113
3,18933	959
3,20000	832
3,21067	724
3,22133	632
3,23200	552
3,24267	489
3,25333	428
3,26400	392
3,27467	348
3,28533	311
3,29600	281
3,30667	249
3,31733	223
3,32800	208
3,33867	198
3,34933	179
3,36000	167
3,37067	156
3,38133	141
3,39200	141
3,40267	134
3,41333	122
3,42400	115
3,43467	105
3,44533	99
3,45600	92
3,46667	89
3,47733	85
3,48800	82
3,49867	77
3,50933	79
3,52000	72
3,53067	69
3,54133	64
3,55200	66
3,56267	67
3,57333	62
3,58400	64
3,59467	65
3,60533	67
3,61600	64
3,62667	66
3,63733	60
3,64800	57
3,65867	54
3,66933	59
3,68000	58
3,69067	62
3,70133	60
3,71200	64
3,72267	56
3,73333	57
3,74400	58
