[Header]
Application Name	LabSolutions
Version	5.71
Data File Name	C:\LabSolutions\Data\Project1\Analyst1\Compound1_STD8__18.lcd
Output Date	04/01/2013
Output Time	01:44:33

[File Information]
Type	Data File
Generated	03/01/2013 10:42:36
Generated by	System Administrator
Modified	03/01/2013 10:55:06
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	03/01/2013 10:43:03
Sample Type	1:Standard
Level	1
Sample Name	STD8_
Sample ID	STD8_
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	56
Injection Volume	50

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Analyst1\Compound1_STD8__18.lcd
Method File	C:\LabSolutions\Data\Project1\Analyst1\Compound1.lcm
Batch File	C:\LabSolutions\Data\Project1\Analyst1\2026.01.14_Compound1_std_curve.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC-PC-Instrument
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	1
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2,928	2,709	4,245	14324913	1838196	7,793	0,000	   			0,000	3005	49,916	1,552	0,000	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      1128
Interval(msec)	640
Start Time(min)	0
End Time(min)	12,0213
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	315
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	0
0,11733	-4
0,12800	-9
0,13867	-4
0,14933	-3
0,16000	-6
0,17067	5
0,18133	-1
0,19200	-5
0,20267	-7
0,21333	-3
0,22400	-7
0,23467	-5
0,24533	-10
0,25600	-7
0,26667	-14
0,27733	-14
0,28800	-9
0,29867	-7
0,30933	-11
0,32000	-11
0,33067	-12
0,34133	-8
0,35200	-8
0,36267	-9
0,37333	-11
0,38400	-11
0,39467	-10
0,40533	-8
0,41600	-9
0,42667	-14
0,43733	-10
0,44800	-4
0,45867	-7
0,46933	-9
0,48000	-9
0,49067	-5
0,50133	-8
0,51200	-9
0,52267	-10
0,53333	-8
0,54400	-14
0,55467	-13
0,56533	-10
0,57600	-7
0,58667	-6
0,59733	-9
0,60800	-8
0,61867	-6
0,62933	-14
0,64000	-11
0,65067	-10
0,66133	-12
0,67200	-6
0,68267	-8
0,69333	-2
0,70400	-5
0,71467	-11
0,72533	-11
0,73600	-8
0,74667	-11
0,75733	-11
0,76800	-11
0,77867	-10
0,78933	-12
0,80000	-11
0,81067	-12
0,82133	-14
0,83200	-15
0,84267	-11
0,85333	-8
0,86400	-4
0,87467	-8
0,88533	-15
0,89600	-10
0,90667	-14
0,91733	-10
0,92800	-6
0,93867	-4
0,94933	-3
