[Header]
Application Name	LabSolutions
Version	5.71
Data File Name	C:\LabSolutions\Data\Project1\Analyst1\Compound1_STD1__04.lcd
Output Date	04/01/2013
Output Time	01:39:35

[File Information]
Type	Data File
Generated	03/01/2013 07:47:27
Generated by	System Administrator
Modified	03/01/2013 07:59:58
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	03/01/2013 07:47:54
Sample Type	1:Standard
Level	1
Sample Name	STD1_
Sample ID	STD1_
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	49
Injection Volume	50

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Analyst1\Compound1_STD1__04.lcd
Method File	C:\LabSolutions\Data\Project1\Analyst1\Compound1.lcm
Batch File	C:\LabSolutions\Data\Project1\Analyst1\2026.01.14_Compound1_std_curve.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC-PC-Instrument
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	1
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2,915	2,731	3,403	107599	13401	8,029	0,000	   			0,000	2822	53,150	1,585	0,000	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      1128
Interval(msec)	640
Start Time(min)	0
End Time(min)	12,0213
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	315
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	-1
0,11733	1
0,12800	-8
0,13867	-8
0,14933	-7
0,16000	-3
0,17067	-7
0,18133	-12
0,19200	-7
0,20267	-9
0,21333	-4
0,22400	-10
0,23467	-10
0,24533	-6
0,25600	-6
0,26667	-12
0,27733	-12
0,28800	-16
0,29867	-6
0,30933	-5
0,32000	-4
0,33067	-13
0,34133	-6
0,35200	-6
0,36267	-8
0,37333	-12
0,38400	-6
0,39467	-6
0,40533	-6
0,41600	-6
0,42667	-1
0,43733	-2
0,44800	-5
0,45867	-9
0,46933	-6
0,48000	-9
0,49067	-13
0,50133	-11
0,51200	-10
0,52267	-14
0,53333	-13
0,54400	-13
0,55467	-20
0,56533	-9
0,57600	-13
0,58667	-5
0,59733	-7
0,60800	-7
0,61867	-15
0,62933	-11
0,64000	-10
0,65067	-7
0,66133	-9
0,67200	-9
0,68267	-6
0,69333	-6
0,70400	-6
0,71467	-6
0,72533	-7
0,73600	-7
0,74667	-9
0,75733	-7
0,76800	-3
0,77867	-9
0,78933	-7
0,80000	-11
0,81067	-4
0,82133	-3
0,83200	-8
0,84267	-13
0,85333	-6
0,86400	-4
0,87467	-3
0,88533	-10
0,89600	-11
0,90667	-9
0,91733	-4
0,92800	-5
0,93867	-8
0,94933	-13
0,96000	-10
0,97067	-10
0,98133	-6
0,99200	-7
1,00267	-13
1,01333	-6
1,02400	-9
1,03467	-3
1,04533	-6
1,05600	-5
1,06667	-9
1,07733	-7
1,08800	-9
1,09867	-3
1,10933	-6
1,12000	-8
1,13067	-10
1,14133	-12
1,15200	-10
1,16267	-8
1,17333	-13
1,18400	-15
1,19467	-15
1,20533	-9
1,21600	-9
1,22667	-13
1,23733	-7
1,24800	-11
1,25867	-15
1,26933	-14
1,28000	-16
1,29067	-14
1,30133	-17
1,31200	-21
1,32267	-16
1,33333	-16
1,34400	-15
1,35467	-13
1,36533	-15
1,37600	-16
1,38667	-18
1,39733	-16
1,40800	-11
1,41867	-14
1,42933	-17
1,44000	-19
1,45067	-12
